brand,engine_type,gearbox,mileage,model,price,url,year
Peugeot,Essence,Manuelle,5,3008,32698,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956754,2023
Peugeot,Essence,Manuelle,5,2008,24800,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-100-ss-bvm6-allure-yvelines-france-1202956747,2023
Peugeot,Diesel,Automatique,5,5008,38650,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956755,2023
Peugeot,Essence,Manuelle,5,3008,29428,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956753,2023
Peugeot,Essence,Manuelle,5,2008,24800,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-100-ss-bvm6-allure-yvelines-france-1202956752,2023
Peugeot,Essence,Manuelle,5,3008,32374,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956751,2023
Peugeot,Essence,Manuelle,5,3008,32698,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956750,2023
Peugeot,Essence,Manuelle,5,3008,32698,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956749,2023
Citroën,Essence,Manuelle,22722,C3,14342,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-feel-pack-yvelines-france-1202956740,2021
Peugeot,Essence,Manuelle,5,2008,24800,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-100-ss-bvm6-allure-yvelines-france-1202956743,2023
Peugeot,Essence,Manuelle,5,2008,24800,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-100-ss-bvm6-allure-yvelines-france-1202956744,2023
Citroën,Essence,Automatique,18346,C3,21200,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-110-eat6-elle-yvelines-france-1202956739,2023
Peugeot,Diesel,Automatique,24561,3008,37200,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956737,2023
Peugeot,Electrique,Automatique,1007,2008,43050,https://www.spoticar.fr/voitures-occasion/peugeot-2008-electrique-54-kwh-156-ch-gt-yvelines-france-1202956714,2023
Citroën,Essence,Manuelle,14255,C3,18104,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-yvelines-france-1202956736,2023
Citroën,Essence,Manuelle,19331,C3,14443,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-feel-pack-yvelines-france-1202956738,2021
Peugeot,Diesel,Automatique,8957,3008,35009,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956719,2023
Citroën,Essence,Manuelle,13654,C3,16716,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-c-series-yvelines-france-1202956735,2023
Citroën,Essence,Manuelle,14624,C5,28881,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-puretech-130-ss-bvm6-c-series-yvelines-france-1202956725,2023
Peugeot,Hybride rechargeable,Automatique,4695,508,46917,https://www.spoticar.fr/voitures-occasion/peugeot-508-hybrid-225-e-eat8-gt-yvelines-france-1202956715,2023
Peugeot,Electrique,Automatique,795,2008,43042,https://www.spoticar.fr/voitures-occasion/peugeot-yvelines-france-1202956716,2023
Citroën,Diesel,Manuelle,5395,C3,21650,https://www.spoticar.fr/voitures-occasion/citroen-c3-aircross-bluehdi-110-ss-bvm6-shine-yvelines-france-1202956706,2023
Peugeot,Hybride rechargeable,Automatique,6192,3008,45225,https://www.spoticar.fr/voitures-occasion/peugeot-3008-hybrid-225-e-eat8-gt-yvelines-france-1202956712,2023
Citroën,Essence,Automatique,6855,C4,28343,https://www.spoticar.fr/voitures-occasion/citroen-c4-puretech-130-ss-eat8-shine-yvelines-france-1202956713,2023
Peugeot,Electrique,Automatique,1419,2008,43090,https://www.spoticar.fr/voitures-occasion/peugeot-yvelines-france-1202956704,2023
